"Año","Pais","SEXO","situ_eco","satisfaccion","confianza_ffa","confianza_polis","confianza_iglesia","confianza_congreso","confianza_gob","confianza_pj","confianza_partidos","confianza_orga_elector","confianza_presi","izq_der","democracia_mejor","autoritario_problemas","control_medios","gob_militar","interes","Educacion"
2020,"Bolivia",2,3,3,3,3,3,3,3,3,3,3,3,5,2,1,2,1,3,2
2020,"Bolivia",1,4,NA,2,2,2,3,3,3,3,3,3,5,2,2,NA,2,4,1
2020,"Bolivia",2,3,3,2,2,2,3,3,2,2,2,2,5,2,3,3,1,2,5
2020,"Bolivia",2,3,3,2,2,1,3,3,3,3,3,3,5,2,2,3,2,3,4
2020,"Bolivia",1,2,3,2,2,2,2,2,2,2,2,2,0,3,2,3,1,3,2
2020,"Bolivia",1,5,3,3,3,3,3,3,3,3,NA,3,0,1,1,3,2,1,2
2020,"Bolivia",2,3,2,1,2,1,4,4,4,4,4,3,5,1,3,3,1,4,5
2020,"Bolivia",2,4,3,3,4,3,3,3,4,3,3,2,5,3,2,2,1,3,5
2020,"Bolivia",1,2,2,2,2,2,3,2,3,3,3,4,3,2,3,3,1,2,6
2020,"Bolivia",2,5,2,4,4,4,3,1,1,4,1,2,0,2,2,2,2,4,4
2020,"Bolivia",1,3,4,3,3,3,4,4,4,4,4,4,5,1,1,4,1,4,5
2020,"Bolivia",1,4,4,2,3,2,3,3,4,4,3,2,4,2,3,3,2,4,7
2020,"Bolivia",1,4,3,3,4,1,3,3,4,4,4,4,97,2,3,2,2,4,4
2020,"Bolivia",2,4,4,1,3,1,4,4,3,4,4,4,97,3,1,3,1,4,7
2020,"Bolivia",2,3,3,2,3,1,2,3,3,3,2,2,97,4,1,2,2,3,5
2020,"Bolivia",2,3,2,3,3,2,3,3,2,3,3,3,5,3,2,3,2,3,5
2020,"Bolivia",1,3,3,4,4,3,3,3,3,3,3,4,4,2,3,3,2,2,7
2020,"Bolivia",1,2,2,2,2,3,2,3,2,2,2,3,5,2,3,3,2,2,5
2020,"Bolivia",2,3,3,2,3,3,3,3,2,3,3,3,5,3,2,3,2,4,7
2020,"Bolivia",1,3,2,3,4,3,2,3,3,3,2,3,5,1,2,4,2,1,6
2020,"Bolivia",2,4,4,4,4,1,4,4,4,4,NA,4,97,3,4,3,1,4,2
2020,"Bolivia",1,3,3,2,3,2,4,4,4,4,4,4,6,1,3,3,2,2,7
2020,"Bolivia",1,4,3,3,3,3,2,1,4,2,3,1,1,2,3,3,2,2,5
2020,"Bolivia",2,5,4,4,3,3,4,4,4,4,4,4,5,3,2,4,1,1,5
2020,"Bolivia",2,4,1,4,4,3,1,1,4,3,3,1,5,2,3,3,2,3,7
2020,"Bolivia",2,3,4,4,4,4,4,4,4,4,4,4,5,2,3,3,2,4,3
2020,"Bolivia",1,3,3,2,3,3,4,2,2,3,3,2,5,2,3,3,2,4,5
2020,"Bolivia",2,5,1,4,4,4,2,1,4,4,4,1,5,1,2,2,2,2,5
2020,"Bolivia",2,3,4,3,3,2,3,3,2,4,3,2,0,2,2,4,2,3,3
2020,"Bolivia",1,3,3,4,4,3,2,2,2,2,2,2,5,2,3,1,2,3,5
2020,"Bolivia",1,3,4,2,2,1,4,4,4,4,3,2,5,2,2,4,2,4,7
2020,"Bolivia",1,3,3,3,2,2,3,2,4,4,2,2,97,3,1,3,2,4,2
2020,"Bolivia",2,3,3,2,2,2,3,3,3,3,3,4,3,2,2,3,2,3,6
2020,"Bolivia",2,4,3,3,3,3,3,4,3,4,3,3,5,2,1,3,1,3,7
2020,"Bolivia",1,4,4,3,3,1,4,4,4,4,4,3,8,1,1,4,1,1,5
2020,"Bolivia",2,5,4,4,3,1,4,4,4,4,4,4,8,4,1,2,2,4,2
2020,"Bolivia",1,3,3,1,1,1,NA,3,3,3,2,3,7,2,2,3,1,3,1
2020,"Bolivia",1,3,3,2,2,2,3,3,3,4,4,3,8,2,2,4,1,2,7
2020,"Bolivia",1,3,3,3,4,3,3,4,4,3,2,4,5,2,4,3,2,2,4
2020,"Bolivia",2,3,3,3,3,2,4,2,2,2,2,2,5,3,2,3,2,3,6
2020,"Bolivia",2,4,4,3,3,1,3,3,3,3,3,3,5,2,3,2,1,3,5
2020,"Bolivia",2,5,NA,4,4,3,4,4,4,4,4,4,5,NA,NA,4,2,4,2
2020,"Bolivia",2,4,3,4,4,1,3,4,3,4,3,4,97,3,3,3,2,4,5
2020,"Bolivia",2,3,NA,4,3,4,3,3,3,4,4,3,0,2,2,3,2,3,2
2020,"Bolivia",1,4,3,3,3,4,3,3,3,4,3,3,5,3,2,3,2,4,7
2020,"Bolivia",2,4,4,2,1,1,4,2,3,2,2,2,5,2,2,3,NA,4,4
2020,"Bolivia",1,3,3,1,1,3,3,4,3,4,3,3,5,3,2,3,1,4,6
2020,"Bolivia",1,4,3,4,4,3,3,3,3,3,3,4,2,2,3,2,2,2,2
2020,"Bolivia",2,3,1,2,4,1,2,2,3,2,2,3,4,2,3,2,2,3,5
2020,"Bolivia",2,2,1,2,3,2,1,1,2,2,1,4,6,1,2,2,2,1,4
2020,"Bolivia",1,3,1,3,3,1,3,3,3,3,2,4,4,1,1,2,2,3,6
2020,"Bolivia",1,2,1,4,4,4,2,NA,4,3,2,2,0,2,2,2,2,3,1
2020,"Bolivia",2,3,4,3,3,3,3,4,4,4,4,4,7,2,3,3,1,3,5
2020,"Bolivia",1,3,3,4,4,4,3,3,3,2,4,3,4,3,3,3,2,1,7
2020,"Bolivia",1,5,2,3,4,1,3,4,3,2,1,4,0,2,3,3,2,3,2
2020,"Bolivia",2,3,3,3,3,2,3,3,3,4,3,4,5,2,2,2,2,4,5
2020,"Bolivia",2,4,3,3,3,3,3,3,3,3,3,3,5,2,3,3,2,4,7
2020,"Bolivia",2,3,3,4,4,1,3,3,3,4,3,4,0,3,2,3,2,4,5
2020,"Bolivia",1,4,4,2,3,3,4,4,4,4,4,4,5,3,3,4,1,1,7
2020,"Bolivia",1,3,2,4,4,2,2,4,4,4,4,4,4,3,1,3,2,4,5
2020,"Bolivia",2,4,3,4,4,4,3,3,4,3,4,4,4,2,3,3,2,3,7
2020,"Bolivia",1,2,2,4,4,3,3,4,4,3,3,3,4,2,1,3,1,1,2
2020,"Bolivia",1,3,1,3,3,1,2,4,3,4,3,4,6,3,2,2,2,3,2
2020,"Bolivia",2,3,1,2,2,2,2,1,2,2,2,1,5,1,3,1,1,2,4
2020,"Bolivia",2,2,2,3,3,2,2,2,1,2,2,NA,0,3,3,2,2,2,6
2020,"Bolivia",2,3,4,1,1,1,3,4,3,4,4,2,97,1,2,4,1,4,7
2020,"Bolivia",1,3,2,3,3,1,1,2,3,3,2,3,5,3,2,2,2,2,5
2020,"Bolivia",2,4,4,4,4,2,4,4,4,4,4,4,97,3,2,3,2,4,4
2020,"Bolivia",1,2,2,2,3,3,4,4,3,4,4,3,97,3,3,2,2,3,2
2020,"Bolivia",1,3,3,3,3,NA,3,4,4,4,3,3,97,3,3,3,2,4,5
2020,"Bolivia",2,3,3,2,3,4,2,2,3,4,2,3,5,2,2,3,2,3,6
2020,"Bolivia",1,3,3,1,1,1,3,4,4,4,4,4,8,2,2,4,2,1,3
2020,"Bolivia",1,5,3,3,3,2,4,4,1,4,2,4,97,1,2,3,2,3,5
2020,"Bolivia",2,3,3,2,3,1,4,2,2,3,3,2,5,2,3,3,2,3,6
2020,"Bolivia",2,4,4,4,4,2,4,2,3,4,3,3,5,3,2,1,2,4,5
2020,"Bolivia",1,3,4,2,2,2,3,3,3,2,2,3,4,2,2,3,2,4,3
2020,"Bolivia",2,5,3,4,2,2,4,4,4,4,4,4,4,3,2,3,2,4,3
2020,"Bolivia",2,4,3,2,2,1,3,3,4,4,3,2,5,3,1,4,1,2,2
2020,"Bolivia",1,4,4,3,4,1,4,4,4,4,3,2,5,2,2,2,1,4,4
2020,"Bolivia",2,4,3,3,3,1,3,3,3,3,3,3,4,2,3,2,2,2,2
2020,"Bolivia",2,4,4,2,4,3,3,3,3,3,3,3,4,3,2,3,2,4,4
2020,"Bolivia",1,3,3,2,2,2,3,4,2,3,2,4,5,2,2,3,2,4,6
2020,"Bolivia",2,4,4,2,3,2,2,3,3,3,3,3,5,2,4,3,1,4,7
2020,"Bolivia",1,3,4,4,4,1,4,4,4,4,4,2,0,4,2,3,2,4,2
2020,"Bolivia",1,3,2,3,3,2,4,4,4,4,4,3,5,2,4,3,2,3,2
2020,"Bolivia",1,5,1,4,4,4,1,1,4,4,2,4,1,1,3,1,2,1,2
2020,"Bolivia",1,3,3,3,3,2,2,3,2,3,2,3,5,3,3,3,2,4,5
2020,"Bolivia",1,4,3,3,3,4,4,3,3,4,3,4,5,3,2,3,2,2,6
2020,"Bolivia",2,3,3,4,4,2,2,2,2,1,3,4,1,2,2,2,2,2,4
2020,"Bolivia",2,3,2,4,4,2,4,4,4,4,4,4,5,2,3,3,2,4,3
2020,"Bolivia",1,3,4,4,4,1,3,3,3,3,3,3,5,2,1,2,2,3,5
2020,"Bolivia",1,4,3,3,4,4,3,3,3,4,4,3,6,2,1,3,2,4,2
2020,"Bolivia",1,3,3,2,3,3,3,3,3,4,4,3,6,2,2,2,1,4,7
2020,"Bolivia",2,3,3,4,4,1,4,4,4,4,4,4,0,3,3,3,2,4,2
2020,"Bolivia",1,4,4,2,3,2,4,4,4,4,4,4,5,4,1,3,2,2,5
2020,"Bolivia",2,4,3,2,4,1,3,3,3,4,3,3,5,2,2,3,1,4,5
2020,"Bolivia",2,3,3,3,3,1,4,4,4,4,3,2,5,2,3,3,1,4,1
2020,"Bolivia",1,4,3,3,3,4,4,3,4,3,2,4,6,1,3,4,2,1,7
2020,"Bolivia",2,2,1,3,3,1,2,3,2,4,2,4,10,2,1,4,2,1,4
2020,"Bolivia",2,4,3,3,3,1,3,4,4,4,4,4,97,3,3,3,1,4,5
2020,"Bolivia",1,4,3,2,3,4,4,4,2,4,3,4,7,3,3,2,2,4,2
2020,"Bolivia",1,4,4,2,2,2,2,2,3,3,4,2,1,4,2,3,2,3,1
2020,"Bolivia",2,4,3,2,2,1,3,1,4,3,4,1,0,NA,2,3,1,4,3
2020,"Bolivia",2,4,3,3,4,2,3,3,3,3,2,4,6,2,2,4,2,2,5
2020,"Bolivia",2,4,1,4,3,1,3,4,3,2,3,4,3,2,1,3,2,2,7
2020,"Bolivia",1,3,3,2,4,4,4,3,4,4,3,4,5,2,2,3,2,3,1
2020,"Bolivia",1,3,3,1,3,3,3,3,3,3,3,3,5,2,2,3,NA,2,4
2020,"Bolivia",1,3,2,4,4,1,4,3,4,3,1,1,5,3,3,NA,2,4,1
2020,"Bolivia",2,3,1,4,4,1,2,NA,NA,NA,2,4,10,NA,NA,NA,NA,3,2
2020,"Bolivia",2,3,3,3,3,1,3,4,4,4,4,4,6,2,2,2,2,4,4
2020,"Bolivia",1,4,3,3,3,4,4,4,4,4,4,4,2,4,2,2,2,4,7
2020,"Bolivia",1,2,2,3,3,1,3,3,3,3,4,4,1,2,2,3,2,2,4
2020,"Bolivia",2,3,3,3,3,1,3,3,3,3,3,3,5,3,3,3,2,4,7
2020,"Bolivia",1,2,1,4,4,4,2,1,4,1,2,2,3,2,3,3,2,1,4
2020,"Bolivia",2,3,3,4,4,2,4,3,4,4,4,4,5,2,3,3,2,4,2
2020,"Bolivia",1,3,3,3,3,1,3,3,2,4,2,2,0,2,3,2,2,4,5
2020,"Bolivia",2,4,2,3,3,2,3,3,3,4,NA,3,NA,NA,NA,2,2,4,1
2020,"Bolivia",2,4,4,3,4,3,2,4,3,2,2,4,0,2,3,2,2,1,1
2020,"Bolivia",1,5,3,4,3,4,3,3,3,3,1,3,10,3,3,3,2,4,4
2020,"Bolivia",2,4,4,3,3,1,4,3,4,3,3,4,5,2,3,2,1,4,2
2020,"Bolivia",1,4,2,1,3,4,4,3,1,4,3,1,5,2,2,4,1,3,5
2020,"Bolivia",1,4,2,1,2,3,3,2,2,2,2,2,5,2,2,3,2,3,3
2020,"Bolivia",2,3,NA,4,3,1,NA,4,NA,4,3,3,10,NA,3,3,2,3,3
2020,"Bolivia",1,3,3,4,4,3,1,1,3,3,3,3,5,2,4,2,2,1,3
2020,"Bolivia",2,NA,2,3,3,1,NA,4,NA,1,NA,4,NA,NA,NA,2,2,4,1
2020,"Bolivia",1,3,3,1,3,NA,4,3,3,3,3,3,2,2,2,2,2,3,5
2020,"Bolivia",2,4,3,3,3,1,2,2,3,4,2,3,97,3,3,3,1,3,5
2020,"Bolivia",2,5,NA,3,3,3,NA,3,3,NA,NA,4,97,3,3,3,2,3,4
2020,"Bolivia",1,5,4,4,4,4,3,2,3,3,2,4,6,3,1,1,2,3,5
2020,"Bolivia",2,2,3,4,4,1,3,3,3,3,3,4,2,2,2,2,2,4,2
2020,"Bolivia",1,3,2,4,4,3,2,2,3,3,3,3,NA,2,3,NA,2,3,1
2020,"Bolivia",2,4,4,4,4,2,NA,2,NA,NA,4,4,NA,NA,NA,2,2,4,1
2020,"Bolivia",1,5,3,4,4,3,4,4,4,4,3,4,0,4,2,1,2,4,2
2020,"Bolivia",1,3,2,3,3,2,1,4,3,2,3,2,0,2,3,3,2,2,3
2020,"Bolivia",1,4,2,2,2,1,1,1,1,3,3,3,1,3,2,1,2,3,4
2020,"Bolivia",2,3,1,3,2,1,2,3,4,3,2,4,0,1,3,1,2,2,4
2020,"Bolivia",2,3,2,3,3,1,3,3,3,3,1,4,0,2,2,2,2,2,1
2020,"Bolivia",1,2,3,2,4,2,2,2,3,3,2,2,2,2,1,2,2,2,4
2020,"Bolivia",2,4,4,4,4,NA,3,3,NA,3,NA,4,0,NA,3,3,2,1,2
2020,"Bolivia",2,3,1,3,3,2,3,3,3,1,1,4,5,2,2,2,2,3,2
2020,"Bolivia",1,4,3,3,3,3,2,2,3,3,3,4,9,2,1,2,2,2,4
2020,"Bolivia",1,3,3,3,3,1,2,1,2,3,2,4,5,2,3,2,2,2,1
2020,"Bolivia",2,3,2,4,3,3,2,3,3,3,3,3,1,2,3,2,1,4,5
2020,"Bolivia",1,4,3,4,4,3,NA,3,NA,4,3,4,0,NA,NA,2,2,4,3
2020,"Bolivia",2,3,3,4,4,3,4,4,4,4,4,3,NA,3,2,3,2,4,4
2020,"Bolivia",2,4,NA,4,4,3,1,4,4,4,4,4,0,2,3,3,2,4,3
2020,"Bolivia",2,5,1,3,4,3,3,1,2,1,3,1,NA,2,2,2,2,2,1
2020,"Bolivia",1,5,1,3,4,3,4,4,3,3,4,4,1,2,2,2,2,1,3
2020,"Bolivia",1,4,3,4,4,1,3,3,4,3,3,4,3,2,4,2,2,4,7
2020,"Bolivia",1,3,4,3,4,1,3,4,3,4,3,3,5,3,3,4,1,4,6
2020,"Bolivia",2,3,3,4,4,1,2,2,2,3,1,4,3,3,1,2,2,3,5
2020,"Bolivia",2,3,4,3,3,1,3,3,3,3,3,4,4,3,3,3,2,4,5
2020,"Bolivia",1,3,3,1,3,1,2,2,3,3,2,2,4,3,3,2,2,3,6
2020,"Bolivia",1,4,4,4,4,2,3,3,4,4,4,4,1,3,3,3,2,3,4
2020,"Bolivia",2,4,3,4,3,1,2,3,3,3,3,3,3,3,3,2,2,4,5
2020,"Bolivia",1,3,3,4,4,1,3,3,3,4,4,4,5,2,NA,3,2,4,4
2020,"Bolivia",2,3,4,2,3,1,4,3,3,4,2,4,4,2,3,3,2,4,7
2020,"Bolivia",2,3,2,1,2,1,2,2,3,2,2,4,4,2,2,2,2,4,6
2020,"Bolivia",2,3,3,4,3,3,3,3,3,3,3,3,1,3,3,2,1,3,4
2020,"Bolivia",1,5,2,4,4,2,4,2,2,4,4,2,10,2,2,2,2,4,2
2020,"Bolivia",1,4,2,4,4,1,3,1,1,4,4,1,6,2,3,2,2,4,4
2020,"Bolivia",2,4,2,4,4,3,2,4,4,3,3,4,4,2,2,2,2,3,4
2020,"Bolivia",2,3,1,3,4,1,NA,3,3,3,3,4,3,3,3,2,1,3,5
2020,"Bolivia",2,3,3,3,4,1,2,2,2,3,2,2,5,2,2,2,2,3,6
2020,"Bolivia",1,3,3,3,2,1,3,3,3,3,4,3,7,4,1,2,2,4,2
2020,"Bolivia",2,3,3,2,2,1,4,3,3,3,4,4,5,2,4,3,2,3,4
2020,"Bolivia",1,4,3,1,1,1,4,4,4,4,4,4,5,3,4,2,1,4,4
2020,"Bolivia",1,4,3,3,3,2,3,3,3,4,3,4,1,2,4,2,2,3,2
2020,"Bolivia",2,4,1,1,4,1,2,1,1,1,2,2,2,1,1,1,1,2,4
2020,"Bolivia",1,5,2,3,3,4,2,2,3,3,3,4,97,3,2,4,2,4,5
